,price_date,AAPL_5_day_alpha_shifted,AAPL_rdate,AAPL_fdate,AAPL_surprisepct
77,2012-04-24,0.0039593143849954646,2012-04-24,2012-03-31,23.0769
140,2012-07-24,-0.008554008741859697,2012-07-24,2012-06-30,-10.1351
206,2012-10-25,-0.04518624858157966,2012-10-25,2012-09-30,-0.8
264,2013-01-23,-0.11936322013888953,2013-01-23,2012-12-31,2.6042
326,2013-04-23,0.075389099063741,2013-04-23,2013-03-31,0.6993
389,2013-07-23,0.08280787638020475,2013-07-23,2013-06-30,1.9048
457,2013-10-28,-0.0068258871568838446,2013-10-28,2013-09-30,3.5088
518,2014-01-27,-0.08222795741631331,2014-01-27,2013-12-31,2.9851
578,2014-04-23,0.12117066235233306,2014-04-23,2014-03-31,13.6986
640,2014-07-22,0.04502322082727041,2014-07-22,2014-06-30,4.065
703,2014-10-20,0.02768133348235103,2014-10-20,2014-09-30,8.3969
770,2015-01-27,0.07506867063386828,2015-01-27,2014-12-31,17.6923
832,2015-04-27,-0.03294530904372915,2015-04-27,2015-03-31,7.8704
891,2015-07-21,-0.04206793679206221,2015-07-21,2015-06-30,2.2099
960,2015-10-27,0.04561551998822863,2015-10-27,2015-09-30,4.2553
1021,2016-01-26,-0.05484995983283717,2016-01-26,2015-12-31,1.548
1084,2016-04-26,-0.07544853023157116,2016-04-26,2016-03-31,-5
1147,2016-07-26,0.08551602279939093,2016-07-26,2016-06-30,2.8986
1211,2016-10-25,-0.04493662438194964,2016-10-25,2016-09-30,0.6024
1277,2017-01-31,0.08013819798407716,2017-01-31,2016-12-31,4.6729
1340,2017-05-02,0.04069890346983739,2017-05-02,2017-03-31,3.9604
1403,2017-08-01,0.06724684982393972,2017-08-01,2017-06-30,6.3694
1469,2017-11-02,0.042905086697805524,2017-11-02,2017-09-30,10.6952
1530,2018-02-01,0.010090445215078542,2018-02-01,2017-12-31,0.7772
1591,2018-05-01,0.09178763776022822,2018-05-01,2018-03-31,1.487
1654,2018-07-31,0.07325707531295717,2018-07-31,2018-06-30,7.3394
1720,2018-11-01,-0.09203987634416241,2018-11-01,2018-09-30,4.2857
1778,2019-01-29,0.0633198903572146,2019-01-29,2018-12-31,0.9615
1841,2019-04-30,0.03024816690660149,2019-04-30,2019-03-31,5.0847
1904,2019-07-30,0.013412747963178581,2019-07-30,2019-06-30,3.7736
1969,2019-10-30,0.04413934580767904,2019-10-30,2019-09-30,7.0423
2029,2020-01-28,-0.008590966386358458,2020-01-28,2019-12-31,9.6491
2094,2020-04-30,0.04450473942510962,2020-04-30,2020-03-31,14.2857
2157,2020-07-30,0.15364391506188183,2020-07-30,2020-06-30,27.451
2221,2020-10-29,-0.07296399536847051,2020-10-29,2020-09-30,4.2857
2281,2021-01-27,-0.07735201237680331,2021-01-27,2020-12-31,19.1489
2344,2021-04-28,-0.03434996884576839,2021-04-28,2021-03-31,41.4141
2406,2021-07-27,-0.0024142157173359597,2021-07-27,2021-06-30,28.7129
2472,2021-10-28,-0.035810244678873004,2021-10-28,2021-09-30,0
2534,2022-01-27,0.04089984927803534,2022-01-27,2021-12-31,11.1111
2597,2022-04-28,-0.0020132792840864,2022-04-28,2022-03-31,6.2937
2659,2022-07-28,0.02747110421275027,2022-07-28,2022-06-30,3.4483
2723,2022-10-27,-0.011159143816236977,2022-10-27,2022-09-30,1.5748
2789,2023-02-02,0.03243274237268739,2023-02-02,2022-12-31,-3.0928
