,price_date,BAC_5_day_alpha_shifted,BAC_rdate,BAC_fdate,BAC_surprisepct
74,2012-04-19,-0.10152826534955754,2012-04-19,2012-03-31,100.0
136,2012-07-18,-0.012779421799598949,2012-07-18,2012-06-30,21.4286
200,2012-10-17,0.05466908364567662,2012-10-17,2012-09-30,95.5714
261,2013-01-17,0.004146364451312647,2013-01-17,2012-12-31,50.0
322,2013-04-17,0.022804974933885017,2013-04-17,2013-03-31,-9.0909
385,2013-07-17,0.023798815642881607,2013-07-17,2013-06-30,28.0
449,2013-10-16,-0.04251398433880113,2013-10-16,2013-09-30,11.1111
511,2014-01-15,-0.004612773838722635,2014-01-15,2013-12-31,11.5385
574,2014-04-16,0.0015388159681052442,2014-04-16,2014-03-31,100.0
636,2014-07-16,-0.005442232124092449,2014-07-16,2014-06-30,-24.1379
700,2014-10-15,0.004641252026083766,2014-10-15,2014-09-30,88.8889
763,2015-01-15,-0.008374329579915983,2015-01-15,2014-12-31,-19.3548
824,2015-04-15,0.005515880311533723,2015-04-15,2015-03-31,-6.8966
887,2015-07-15,0.039796659945666356,2015-07-15,2015-06-30,25.0
951,2015-10-14,0.0013542382470572694,2015-10-14,2015-09-30,12.1212
1016,2016-01-19,-0.08137702306566613,2016-01-19,2015-12-31,11.5385
1076,2016-04-14,0.043746445245281027,2016-04-14,2016-03-31,0.0
1141,2016-07-18,0.016196652462349637,2016-07-18,2016-06-30,9.0909
1205,2016-10-17,0.03320888138944352,2016-10-17,2016-09-30,20.5882
1266,2017-01-13,-0.012944823013758676,2017-01-13,2016-12-31,5.2632
1330,2017-04-18,0.0021320378956373384,2017-04-18,2017-03-31,17.1429
1393,2017-07-18,0.01438437706568252,2017-07-18,2017-06-30,6.9767
1455,2017-10-13,0.03411641900245467,2017-10-13,2017-09-30,6.6667
1519,2018-01-17,0.01921222356358067,2018-01-17,2017-12-31,9.0909
1580,2018-04-16,0.016529941164387316,2018-04-16,2018-03-31,5.0847
1643,2018-07-16,0.02835586939486063,2018-07-16,2018-06-30,10.5263
1707,2018-10-15,-0.02143450640490097,2018-10-15,2018-09-30,6.4516
1770,2019-01-16,0.012189608106785777,2019-01-16,2018-12-31,11.1111
1832,2019-04-16,-0.0037883406528068046,2019-04-16,2019-03-31,6.0606
1895,2019-07-17,0.034829343822455595,2019-07-17,2019-06-30,4.2254
1959,2019-10-16,0.03471988655330005,2019-10-16,2019-09-30,9.8039
2021,2020-01-15,-0.0305358971665423,2020-01-15,2019-12-31,8.8235
2083,2020-04-15,-0.02454209259253418,2020-04-15,2020-03-31,-13.0435
2147,2020-07-16,0.012804898229926226,2020-07-16,2020-06-30,37.037
2210,2020-10-14,0.030098404782716706,2020-10-14,2020-09-30,4.0816
2275,2021-01-19,-0.07244144248259785,2021-01-19,2020-12-31,7.2727
2335,2021-04-15,-0.0037719239190084995,2021-04-15,2021-03-31,30.303
2397,2021-07-14,-0.005687342519404888,2021-07-14,2021-06-30,33.7662
2462,2021-10-14,0.007559419929659007,2021-10-14,2021-09-30,19.7183
2528,2022-01-19,0.01977714879986483,2022-01-19,2021-12-31,7.8947
2589,2022-04-18,-0.01732381660277987,2022-04-18,2022-03-31,6.6667
2651,2022-07-18,0.012349748251954035,2022-07-18,2022-06-30,-2.6667
2715,2022-10-17,0.004627061232051692,2022-10-17,2022-09-30,5.1948
2776,2023-01-13,-0.029996445503914095,2023-01-13,2022-12-31,10.3896
