,price_date,NVDA_5_day_alpha_shifted,NVDA_rdate,NVDA_fdate,NVDA_surprisepct
90,2012-05-11,-0.038304433045153095,2012-05-11,2012-04-30,0
152,2012-08-09,-0.009511258639023058,2012-08-09,2012-07-31,57.1429
214,2012-11-08,-0.06073354115204484,2012-11-08,2012-10-31,10
279,2013-02-13,0.004198601260866439,2013-02-13,2013-01-31,16.6667
338,2013-05-09,0.035511491126913035,2013-05-09,2013-04-30,30
401,2013-08-08,0.04228426153867704,2013-08-08,2013-07-31,23.0769
465,2013-11-07,0.08733520985146152,2013-11-07,2013-10-31,0
530,2014-02-12,0.10444724418033195,2014-02-12,2014-01-31,33.3333
587,2014-05-06,-0.019483371119025022,2014-05-06,2014-04-30,23.5294
652,2014-08-07,0.05048775732419021,2014-08-07,2014-07-31,10
716,2014-11-06,-0.03973482276760701,2014-11-06,2014-10-31,10.7143
781,2015-02-11,0.04288585123761919,2015-02-11,2015-01-31,25
840,2015-05-07,-0.063177563822408,2015-05-07,2015-04-30,-7.6923
903,2015-08-06,0.14861220084566526,2015-08-06,2015-07-31,-50
967,2015-11-05,0.1284517404420175,2015-11-05,2015-10-31,76
1036,2016-02-17,0.14809995732864917,2016-02-17,2016-01-31,9.375
1096,2016-05-12,0.23194796847054303,2016-05-12,2016-04-30,3.125
1159,2016-08-11,0.0389860415388588,2016-08-11,2016-07-31,8.1081
1223,2016-11-10,0.35025471999107205,2016-11-10,2016-10-31,45.614
1284,2017-02-09,-0.08801476514358297,2017-02-09,2017-01-31,19.2771
1345,2017-05-09,0.3231953217206119,2017-05-09,2017-04-30,19.697
1410,2017-08-10,-0.012336629730487528,2017-08-10,2017-07-31,31.4286
1474,2017-11-09,0.02605037397589272,2017-11-09,2017-10-31,41.4894
1535,2018-02-08,0.023356255626776193,2018-02-08,2018-01-31,52.1368
1598,2018-05-10,-0.04767933995542036,2018-05-10,2018-04-30,28.9308
1666,2018-08-16,0.024381262101395594,2018-08-16,2018-07-31,9.6045
1730,2018-11-15,-0.20043077502289539,2018-11-15,2018-10-31,-1.6043
1790,2019-02-14,-0.002914280883853093,2019-02-14,2019-01-31,6.6667
1853,2019-05-16,-0.03665441335114408,2019-05-16,2019-04-30,8.642
1916,2019-08-15,0.09447225627271696,2019-08-15,2019-07-31,6.8966
1980,2019-11-14,-0.0029292834376454333,2019-11-14,2019-10-31,15.3846
2041,2020-02-13,0.11231074474835395,2020-02-13,2020-01-31,11.9048
2109,2020-05-21,-0.031818750692463815,2020-05-21,2020-04-30,7.1429
2171,2020-08-19,0.020753336463636328,2020-08-19,2020-07-31,12.2449
2235,2020-11-18,-0.044786073425471785,2020-11-18,2020-10-31,14.0625
2300,2021-02-24,-0.07799085293505222,2021-02-24,2021-01-31,11.4286
2364,2021-05-26,0.0824989215227668,2021-05-26,2021-04-30,12.1951
2422,2021-08-18,0.14363139656489188,2021-08-18,2021-07-31,2.9703
2486,2021-11-17,0.11075691771657616,2021-11-17,2021-10-31,5.4054
2548,2022-02-16,0.008648508004920674,2022-02-16,2022-01-31,8.1967
2616,2022-05-25,0.03367528929612418,2022-05-25,2022-04-30,5.4264
2678,2022-08-24,-0.03162860060306394,2022-08-24,2022-07-31,-59.2
2737,2022-11-16,0.0045685369534484155,2022-11-16,2022-10-31,-15.942
2802,2023-02-22,0.11729063894249166,2023-02-22,2023-01-31,8.642
